date	run_id	strategy	total_return	sharpe	max_drawdown	n_trades	description	status	commit
20260525_082525	baseline	HypothesisH37DynamicGridInformedGate	0.08946899756261928	0.6164094563066514	-0.03458640645858746	87	baseline	FAIL	0
20260525_082720	ofi_thresh_0.25	HypothesisH37DynamicGridInformedGate	0.066921071616731	0.4844611825941649	-0.028513377334606793	72	ofi_thresh_0.25	FAIL	0
20260525_082918	ofi_thresh_0.30	HypothesisH37DynamicGridInformedGate	0.066921071616731	0.4844611825941649	-0.028513377334606793	72	ofi_thresh_0.30	FAIL	0
20260525_083118	vpin_thresh_0.65	HypothesisH37DynamicGridInformedGate	0.08066058660665365	0.5621893297391661	-0.043086930294994774	95	vpin_thresh_0.65	FAIL	0
20260525_083317	ofi_0.25_vpin_0.65	HypothesisH37DynamicGridInformedGate	0.03120633742364709	0.2151038991345444	-0.04924860124931796	85	ofi_0.25_vpin_0.65	FAIL	0
20260525_083519	mk_no_trend_1.2	HypothesisH37DynamicGridInformedGate	0.05300581670631099	0.4938294919426965	-0.03151850786343635	67	mk_no_trend_1.2	FAIL	0
20260525_083725	mk_1.2_ofi_0.25	HypothesisH37DynamicGridInformedGate	0.05393337897320727	0.49941005938356553	-0.02957842070564254	64	mk_1.2_ofi_0.25	FAIL	0
20260525_083926	grid_period_28	HypothesisH37DynamicGridInformedGate	0.048177543045562876	0.3632082077714434	-0.03260888340968815	71	grid_period_28	FAIL	0
20260525_084145	grid_period_18	HypothesisH37DynamicGridInformedGate	-0.012169372417178859	-0.1285127972377428	-0.0639839922278338	89	grid_period_18	FAIL	0
20260525_084359	grid_mult_1.0	HypothesisH37DynamicGridInformedGate	-0.025477530828837303	-0.30584194822801564	-0.08112580782160383	95	grid_mult_1.0	FAIL	0
20260525_084632	ofi_0.30_mk_1.2	HypothesisH37DynamicGridInformedGate	0.05393337897320727	0.49941005938356553	-0.02957842070564254	64	ofi_0.30_mk_1.2	FAIL	0
